자치구명,건물면적,토지면적,층,건축년도,경도,위도,읍면동명,월평균소득,동별세대수,동별세대당인구,20세미만인구,20세이상인구,주택가격(만원)
송파구,43.83,24.0,-1.0,1995.0,127.13313160780346,37.50277135143016,오금동,3510674.0,16048,2.36,4444,32734,15000
양천구,41.64,32.0,1.0,1986.0,126.83215264801592,37.522712467011424,신월1동,2227154.0,9857,1.91,12633,101640,24000
구로구,43.8,15.0,3.0,1996.0,126.88709841460944,37.48722269426037,구로제1동,3368067.0,8393,2.42,9818,101018,21000
동작구,28.015,18.0,3.0,2014.0,126.94205915676876,37.4985661455548,상도제1동,3875896.0,23035,1.92,11510,101057,25900
금천구,48.6,28.0,6.0,2024.0,126.90725662174808,37.454780886966496,시흥제1동,2757307.0,16384,1.93,9319,87362,43800
중랑구,49.49,32.0,4.0,2013.0,127.09929930826732,37.60465134104995,신내1동,2780491.0,14718,2.52,7095,48326,26400
금천구,28.35,16.0,4.0,2015.0,126.9068164625064,37.45355356183151,시흥제1동,2757307.0,16384,1.93,9319,87362,23800
영등포구,48.72,30.0,3.0,2018.0,126.91893936711588,37.50055452956432,영등포본동,3286751.0,10334,1.97,10440,89316,46300
종로구,38.58,24.0,2.0,2001.0,126.98306465394114,37.58422167019144,삼청동,3442534.0,1103,1.99,128,1089,30000
은평구,26.7,16.0,5.0,2022.0,126.92384939720058,37.599423078699175,응암제1동,2726133.0,15072,2.13,9854,70904,25500
중랑구,25.68,15.0,2.0,2017.0,127.09549483413454,37.58768200131401,면목제2동,2322173.0,12138,1.91,10715,119617,25000
강동구,26.73,16.0,3.0,2014.0,127.13050696832843,37.54986146558004,암사제1동,2852157.0,15928,2.08,7845,55492,31000
송파구,41.38,22.0,-1.0,1996.0,127.11624842411273,37.50869021132263,방이1동,3970520.0,6168,2.43,6764,51042,13000
은평구,29.94,19.0,4.0,2011.0,126.91281560147524,37.61191339225024,구산동,2602334.0,13488,2.29,3173,27409,19000
영등포구,51.69,31.0,5.0,2010.0,126.90237121387936,37.50990031074902,영등포본동,3286751.0,10334,1.97,1284,11952,33000
동대문구,37.93,26.0,-1.0,1996.0,127.03258452901612,37.57669789400806,용신동,2894254.0,21978,1.76,2981,31339,19000
마포구,25.44,17.0,2.0,2017.0,126.90277896330024,37.55665025807956,망원제1동,2802536.0,10082,1.85,3239,32518,43000
은평구,36.31,21.0,5.0,2016.0,126.91685458436407,37.6249027537524,갈현제1동,2481200.0,7224,1.96,3860,37070,28000
동대문구,45.02,25.0,6.0,2017.0,127.06410657055127,37.565590961221936,장안제1동,2863708.0,18312,2.02,8215,60301,37200
은평구,71.93,40.0,5.0,2001.0,126.9320814712223,37.61472539358437,불광제1동,3182963.0,18150,2.06,5303,57959,64400
강동구,44.3,29.0,3.0,2023.0,127.17014663358654,37.55940686637576,고덕제1동,4618641.0,8141,2.91,9891,37521,59000
노원구,87.87,66.0,1.0,1986.0,127.07367478943496,37.62051722409525,공릉1동,2786137.0,18792,1.89,9238,66332,37000
마포구,80.12,45.0,4.0,2008.0,126.91424277726894,37.56443490431023,성산제1동,2814646.0,9628,1.93,4258,42729,48000
관악구,41.92,26.0,5.0,2019.0,126.9313664409164,37.49280687598884,보라매동,2529995.0,13012,1.79,17975,200181,37700
강서구,26.98,15.0,2.0,2012.0,126.84491561951126,37.54292511782944,화곡제1동,2485455.0,27977,1.78,20096,189853,15300
강북구,43.01,26.0,3.0,2015.0,127.01032455001062,37.6465172648536,수유1동,2220463.0,10493,1.86,7930,90942,20000
강남구,19.4,13.0,2.0,2022.0,127.04785310527,37.47998790838059,개포1동,5336373.0,9170,2.89,14202,73830,45000
동작구,30.55,20.0,5.0,2008.0,126.95255938995828,37.50307184403042,상도제1동,3875896.0,23035,1.92,823,8889,16500
성동구,25.71,18.0,3.0,2023.0,127.05150702152304,37.56549459953668,용답동,2484354.0,7833,1.54,667,11219,49000
성동구,25.71,18.0,3.0,2023.0,127.05150702152304,37.56549459953668,용답동,2484354.0,7833,1.54,667,11219,49000
중랑구,40.16,18.0,9.0,2018.0,127.08686244961518,37.59553168908159,상봉제1동,2969913.0,10067,2.26,3765,39299,41000
광진구,43.5,25.0,2.0,2017.0,127.09042232652185,37.533903816090266,구의제1동,2683701.0,13261,1.73,7794,66911,48000
용산구,18.13,13.0,3.0,2012.0,126.97865584109772,37.54854959140368,후암동,3013677.0,8254,1.91,1472,14062,42000
광진구,51.66,24.0,4.0,2002.0,127.0875253030598,37.56999515743004,중곡제1동,2542359.0,8672,1.74,5978,70958,25300
마포구,85.86,32.0,4.0,1993.0,126.91556968973217,37.56392954834398,성산제1동,2814646.0,9628,1.93,4258,42729,48000
강북구,71.58,31.0,3.0,2002.0,127.01787415702198,37.64712563903716,수유1동,2220463.0,10493,1.86,7930,90942,30000
